Organization,Category,Year,Value
permanent mission of the fiji republic,Food and  Hotels,2021,2
permanent mission of the fiji republic,Energy,2020,1
permanent mission of the fiji republic,Mobility,2020,23
permanent mission of the fiji republic,Food / Hotels,2020,1
permanent mission of the fiji republic,Waste,2020,0
permanent mission of the fiji republic,Consumables,2020,4
permanent mission of the federal republic of germany,Energy,2022,226.8
permanent mission of the federal republic of germany,Mobility,2022,11.1
permanent mission of the federal republic of germany,Consumables,2022,2.1
permanent mission of the federal republic of germany,Waste,2022,1.3
permanent mission of the federal republic of germany,Food and  Hotels,2022,1.4
permanent mission of the federal republic of germany,Energy,2021,220
permanent mission of the federal republic of germany,Mobility,2021,7
permanent mission of the federal republic of germany,Consumables,2021,1
permanent mission of the federal republic of germany,Waste,2021,1
permanent mission of the federal republic of germany,Food and  Hotels,2021,0
permanent mission of the federal republic of germany,Energy,2020,224
permanent mission of the federal republic of germany,Mobility,2020,38
permanent mission of the federal republic of germany,Food / Hotels,2020,45
permanent mission of the federal republic of germany,Waste,2020,1
permanent mission of the federal republic of germany,Consumables,2020,15
permanent mission of the republic of costa rica,Energy,2022,1
permanent mission of the republic of costa rica,Mobility,2022,0.1
permanent mission of the republic of costa rica,Consumables,2022,0
permanent mission of the republic of costa rica,Waste,2022,0.2
permanent mission of the republic of costa rica,Food and  Hotels,2022,3.1
permanent mission of the republic of costa rica,Energy,2021,1
permanent mission of the republic of costa rica,Mobility,2021,0
permanent mission of the republic of costa rica,Consumables,2021,1
permanent mission of the republic of costa rica,Waste,2021,0
permanent mission of the republic of costa rica,Food and  Hotels,2021,1
permanent mission of the republic of costa rica,Energy,2020,0
permanent mission of the republic of costa rica,Mobility,2020,0
permanent mission of the republic of costa rica,Food / Hotels,2020,3
permanent mission of the republic of costa rica,Waste,2020,0
permanent mission of the republic of costa rica,Consumables,2020,3
